47,69,1778,47,69,1778,1.49231e+06,405
47,69,1778,47,69,1778,1.49231e+06,1482
47,69,1778,47,69,1778,1.49231e+06,398
47,69,1778,87,129,1157,1.0162e+06,580
47,69,1778,87,129,1157,1.0162e+06,1325
47,69,1778,87,129,1157,1.0162e+06,1327
47,69,1778,141,162,1767,1.52487e+06,1050
47,69,1778,141,162,1767,1.52487e+06,1062
47,69,1778,141,162,1767,1.52487e+06,1057
87,129,1157,47,69,1778,1.0162e+06,1086
87,129,1157,47,69,1778,1.0162e+06,1502
87,129,1157,47,69,1778,1.0162e+06,492
87,129,1157,87,129,1157,1.01059e+06,1036
87,129,1157,87,129,1157,1.01059e+06,1306
87,129,1157,87,129,1157,1.01059e+06,1315
87,129,1157,141,162,1767,1.4472e+06,1500
87,129,1157,141,162,1767,1.4472e+06,2505
87,129,1157,141,162,1767,1.4472e+06,1070
141,162,1767,47,69,1778,1.52487e+06,1160
141,162,1767,47,69,1778,1.52487e+06,2872
141,162,1767,47,69,1778,1.52487e+06,1164
141,162,1767,87,129,1157,1.4472e+06,1148
141,162,1767,87,129,1157,1.4472e+06,1064
141,162,1767,87,129,1157,1.4472e+06,1353
141,162,1767,141,162,1767,2.13599e+06,2240
141,162,1767,141,162,1767,2.13599e+06,1001
141,162,1767,141,162,1767,2.13599e+06,1023
141,162,1767,398,528,792,901385,3262
398,528,792,47,69,1778,412290,509
398,528,792,141,162,1767,901374,1002
