47,69,1778,47,69,1778,1.49231e+06,1118,2.80500894454382826475
47,69,1778,47,69,1778,1.49231e+06,1017,3.08357915437561455260
47,69,1778,47,69,1778,1.49231e+06,1021,3.07149853085210577864
47,69,1778,87,129,1157,1.0162e+06,1101,1.97366030881017257039
47,69,1778,87,129,1157,1.0162e+06,1083,2.00646352723915050784
47,69,1778,87,129,1157,1.0162e+06,1084,2.00461254612546125461
47,69,1778,141,162,1767,1.52487e+06,1337,3.47120418848167539267
47,69,1778,141,162,1767,1.52487e+06,2712,1.71128318584070796460
47,69,1778,141,162,1767,1.52487e+06,1274,3.64285714285714285714
87,129,1157,47,69,1778,1.0162e+06,1055,2.01421800947867298578
87,129,1157,47,69,1778,1.0162e+06,1041,2.04130643611911623439
87,129,1157,47,69,1778,1.0162e+06,1050,2.02380952380952380952
87,129,1157,87,129,1157,1.01059e+06,1032,2.02131782945736434108
87,129,1157,87,129,1157,1.01059e+06,1047,1.99235912129894937917
87,129,1157,87,129,1157,1.01059e+06,1053,1.98100664767331433998
87,129,1157,141,162,1767,1.4472e+06,1403,2.19672131147540983606
87,129,1157,141,162,1767,1.4472e+06,2501,1.23230707716913234706
87,129,1157,141,162,1767,1.4472e+06,1434,2.14923291492329149232
141,162,1767,47,69,1778,1.52487e+06,2097,2.27420123986647591797
141,162,1767,47,69,1778,1.52487e+06,2146,2.22227399813606710158
141,162,1767,47,69,1778,1.52487e+06,2149,2.21917170777105630525
141,162,1767,87,129,1157,1.4472e+06,2050,1.48780487804878048780
141,162,1767,87,129,1157,1.4472e+06,2046,1.49071358748778103616
141,162,1767,87,129,1157,1.4472e+06,2041,1.49436550710436060754
141,162,1767,141,162,1767,2.13599e+06,3311,1.62941709453337360314
141,162,1767,141,162,1767,2.13599e+06,3172,1.70081967213114754098
141,162,1767,141,162,1767,2.13599e+06,2654,2.03278070836473247927
