Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    136.50     0.00   179733     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, unsigned long> >::_M_valptr() const
  0.00    136.50     0.00   179733     0.00     0.00  std::pair<std::string const, unsigned long> const* std::__addressof<std::pair<std::string const, unsigned long> const>(std::pair<std::string const, unsigned long> const&)
  0.00    136.50     0.00   178832     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, jsonxx::Value*> >::new_allocator()
  0.00    136.50     0.00   178832     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, jsonxx::Value*> >::~new_allocator()
  0.00    136.50     0.00   178832     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::get_allocator() const
  0.00    136.50     0.00   178832     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_get_Node_allocator() const
  0.00    136.50     0.00   178832     0.00     0.00  std::allocator<std::pair<std::string const, jsonxx::Value*> >::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > > const&)
  0.00    136.50     0.00   178832     0.00     0.00  std::allocator<std::pair<std::string const, jsonxx::Value*> >::~allocator()
  0.00    136.50     0.00   178832     0.00     0.00  std::pair<std::string const, jsonxx::Value*>::~pair()
  0.00    136.50     0.00   178832     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_get_Node_allocator()
  0.00    136.50     0.00   168444     0.00     0.00  std::_Niter_base<jsonxx::Value**>::iterator_type std::__niter_base<jsonxx::Value**>(jsonxx::Value**)
  0.00    136.50     0.00   167796     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*, std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*, std::string const&)
  0.00    136.50     0.00   167375     0.00     0.00  std::_Select1st<std::pair<std::string const, unsigned long> >::operator()(std::pair<std::string const, unsigned long> const&) const
  0.00    136.50     0.00   166330     0.00     0.00  __gnu_cxx::__normal_iterator<jsonxx::Value**, std::vector<jsonxx::Value*, std::allocator<jsonxx::Value*> > >::__normal_iterator(jsonxx::Value** const&)
  0.00    136.50     0.00   157551     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00    136.50     0.00   151152     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::begin()
  0.00    136.50     0.00   151152     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, jsonxx::Value*>, std::_Select1st<std::pair<std::string const, jsonxx::Value*> >, std::less<std::string>, std::allocator<std::pair<std::string const, jsonxx::Value*> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> >*)
  0.00    136.50     0.00   150443     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long>, std::_Select1st<std::pair<std::string const, unsigned long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, unsigned long> > const*)
  0.00    136.50     0.00   150443     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long>, std::_Select1st<std::pair<std::string const, unsigned long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, unsigned long> > const*)
  0.00    136.50     0.00   144540     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, jsonxx::Value*> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, jsonxx::Value*> > const*)
