47,69,1778,47,69,1778,1.49242e+06,436
47,69,1778,47,69,1778,1.49242e+06,1561
47,69,1778,47,69,1778,1.49242e+06,438
47,69,1778,87,129,1157,1.01623e+06,1611
47,69,1778,87,129,1157,1.01623e+06,346
47,69,1778,87,129,1157,1.01623e+06,387
47,69,1778,141,162,1767,1.52503e+06,1318
47,69,1778,141,162,1767,1.52503e+06,667
47,69,1778,141,162,1767,1.52503e+06,727
47,69,1778,398,528,792,412339,1334
47,69,1778,398,528,792,412339,2654
47,69,1778,398,528,792,412339,1335
87,129,1157,47,69,1778,1.01623e+06,368
87,129,1157,47,69,1778,1.01623e+06,1630
87,129,1157,47,69,1778,1.01623e+06,368
87,129,1157,87,129,1157,1.01063e+06,536
87,129,1157,87,129,1157,1.01063e+06,1461
87,129,1157,87,129,1157,1.01063e+06,538
87,129,1157,141,162,1767,1.44737e+06,1192
87,129,1157,141,162,1767,1.44737e+06,1096
87,129,1157,141,162,1767,1.44737e+06,1098
141,162,1767,47,69,1778,1.52503e+06,1472
141,162,1767,47,69,1778,1.52503e+06,530
141,162,1767,47,69,1778,1.52503e+06,1442
141,162,1767,87,129,1157,1.44737e+06,1201
141,162,1767,87,129,1157,1.44737e+06,797
141,162,1767,87,129,1157,1.44737e+06,802
141,162,1767,141,162,1767,2.13623e+06,1161
141,162,1767,141,162,1767,2.13623e+06,1335
141,162,1767,141,162,1767,2.13623e+06,2661
398,528,792,47,69,1778,412374,729
398,528,792,47,69,1778,412374,721
398,528,792,87,129,1157,719359,1418
398,528,792,87,129,1157,719359,2571
398,528,792,87,129,1157,719359,1431
