47,69,1778,47,69,1778,1.49484e+06,3136
47,69,1778,87,129,1157,1.01802e+06,2173
47,69,1778,141,162,1767,1.5285e+06,4644
47,69,1778,398,528,792,412676,2265
47,69,1778,912,194,251,124202,5115
87,129,1157,47,69,1778,1.01803e+06,2124
87,129,1157,87,129,1157,1.01224e+06,2086
87,129,1157,141,162,1767,1.45124e+06,3081
87,129,1157,398,528,792,719743,2061
87,129,1157,912,194,251,208408,3549
141,162,1767,47,69,1778,1.52899e+06,3228
141,162,1767,87,129,1157,1.45125e+06,3045
141,162,1767,141,162,1767,2.14381e+06,5410
141,162,1767,398,528,792,902213,3329
141,162,1767,912,194,251,266718,5292
398,528,792,47,69,1778,412669,1166
398,528,792,87,129,1157,719888,2632
398,528,792,141,162,1767,902427,2171
398,528,792,398,528,792,1.60299e+06,2730
398,528,792,912,194,251,450470,2840
912,194,251,47,69,1778,124193,261
912,194,251,87,129,1157,208413,412
912,194,251,141,162,1767,266704,555
912,194,251,398,528,792,450501,1204
912,194,251,912,194,251,129140,1144
